Q,A,I
Làm sao để biết hồ sơ gửi đi đã hợp lệ hay chưa ạ?,"
Bạn vui lòng theo dõi tình trạng hồ sơ trên cổng của ĐHQG hoặc trên cổng mybk để biết được tình trạng hồ sơ của bạn nhé. Nếu bạn đã thấy hiện dòng chữ ""Hồ sơ đã được xác nhận"" hoặc mã ""QSB-UTXT-...."" là hồ sơ đã xác nhận rồi bạn nhé
",3
Cho em hỏi thời gian công bố kết quả phương thức 1.1 Xét tuyển thẳng theo quy định của Bộ Giáo dục & Đào tạo và ĐHQG-HCM ạ?,"
Chào bạn, thời gian công bố kết quả theo phương thức 1.1 dự kiến sẽ có trước 17g ngày 05/07/2023 bạn nhé
",19
Dạ cho em hỏi ngành logistic bên trường có xét theo khối C k ạ,"
Chào bạn, trường Đại học Bách khoa HCM chỉ có 1 ngành Kiến trúc xét theo tổ hợp C01 (Toán, Lý, Văn) thôi bạn nhé. Vì vậy, ngành Logistics và quản lý chuỗi cung ứng không xét theo khối C mà chỉ xét khối A00, A01.
",20
Cho em hỏi công thức tính điểm phương thức 5 Xét tuyển kết hợp nhiều tiêu chí ạ?,"
Chào bạn, hiện tại vẫn chưa có thông tin về công thức tính điểm của năm nay bạn nhé. Theo như năm 2022 thì công thức tính điểm sẽ được công bố cùng lúc với điểm chuẩn xét tuyển của phương thức 5.
",1
KTX bách khoa ở quận 10 có gần trường không ạ?,"
Chào bạn, KTX Bách khoa tọa lạc tại số 497 Hòa Hảo, quận 10 chỉ cách trường 6 phút đi xe thôi bạn nhé
",9
Thầy cô ơi cho e hỏi là khi nào công bố điểm chuẩn phương thức utxt 2 ạ,"
Chào bạn, thời gian công bố kết quả theo phương thức 2 dự kiến sẽ có trước 17g ngày 26/06/2023 bạn nhé
",19
Cho em hỏi còn đợt nộp hồ sơ cho chương trình đào tạo thạc sĩ phương thức tuyển thẳng nào không. Do em chưa chuẩn bị đủ hồ sơ nên đợt nộp ngày 16/6/2023 em không thể nộp kịp. Em mong được phản hồi. xin cám ơn admin,"
Chào bạn, về vấn đề này, bạn vui lòng liên hệ đến PĐT Sau đại học qua số điện thoại 02838647256, sau đó bấm số nội bộ 5263 để được hỗ trợ bạn nhé
",2
Cho em hỏi trường xét phương thức kết hợp 5 là vào ngày mấy ạ,"
Chào bạn, bạn có thể tham khảo các mốc thời gian đăng ký xét tuyển cho phương thức 5 như sau: 
1. Thí sinh đăng ký nguyện vọng tại cổng tuyển sinh của Bộ GD&ĐT: 10/07/2023 đến trước 17g00, 30/07/2023
2, Đăng ký bổ sung các thông tin xét tuyển tại cổng đăng ký tuyển sinh của trường ĐHBK: Trước ngày 30/07/2023
Về chi tiết các thông tin xét tuyển liên quan đến phương thức 5, bạn có thể tham khảo tại đây: https://hcmut.edu.vn/tuyen-sinh/dai-hoc-chinh-quy/phuong-thuc-tuyen-sinh/xet-tuyen-tieu-chi""
",2
Cho em hỏi học phí ngành khoa học máy tính chương trình giảng dạy bằng tiếng Anh của trường được không ạ?,"
Chào bạn, ngành khoa học máy tính thuộc chương trình giảng dạy bằng tiếng Anh có học phí 40 triệu/HK, mỗi năm sẽ có 2 học kỳ chính nhé bạn.
",7
Cho em hỏi là PT5 xét tuyển thì không có ĐGNL có đủ điều kiện xét không ạ,"
Chào bạn, nếu bạn không có điểm thi ĐGNL thì bạn vẫn có thể xét tuyển được cho phương thức 5 nhưng khi đó sẽ lấy điểm thi THPT QG quy đổi ra cột điểm ĐGNL cho bạn, còn việc quy đổi như thế nào thì vẫn chưa có thông tin ạ
",1
Cho em hỏi phương thức kết hợp khi nào mới có điểm chuẩn ạ,"
Chào bạn, hiện tại vẫn chưa có thông tin về thời gian công bố kết quả xét tuyển phương thức 5 Xét tuyển kết hợp nhiều tiêu chí. Hiện tại, đang có 2 mốc thời gian như sau:
1. Thí sinh đăng ký nguyện vọng tại cổng tuyển sinh của Bộ GD&ĐT: 10/07/2023 đến trước 17g00, 30/07/2023
2, Đăng ký bổ sung các thông tin xét tuyển tại cổng đăng ký tuyển sinh của trường ĐHBK: Trước ngày 30/07/2023
Về chi tiết các thông tin xét tuyển liên quan đến phương thức 5, bạn có thể tham khảo tại đây: https://hcmut.edu.vn/tuyen-sinh/dai-hoc-chinh-quy/phuong-thuc-tuyen-sinh/xet-tuyen-tieu-chi""
",19
"Dạ em là thí sinh chuẩn bị thi đại học năm nay, em có nguyện vọng vào Bách Khoa nhưng lúc tạo tài khoản trên mybk em bị quên mật khẩu thì giờ em phải làm sao đây ạ","
Chào bạn, về vấn đề mật khẩu của tài khoản mybk thì bạn gửi mail về admission@hcmut.edu.vn để được hỗ trợ bạn nhé
",21
Dạ cho em hỏi trọng số các tiêu chí điểm trong phương thức 5 là bao nhiêu ạ?,"
Năm 2023 hiện đang để trọng số của các cột điểm trong phương thức 5 tương ứng là 90% điểm học lực gồm ĐGNL 50-75%, THPT QG 20-30%, Học bạ 0-5% và 5% thành tích cá nhân, 5% hoạt động xã hội, văn thể mỹ bạn nhé
",1
,"
Bộ hồ sơ Ưu tiên xét tuyển theo quy định của ĐHQG-HCM bao gồm:

Phiếu đăng ký UTXT theo mẫu (được in từ hệ thống đăng ký xét tuyển UTXT ĐHQG-HCM) sau khi hoàn thành Bước 1 và Bước 2 (có đóng dấu xác nhận của trường THPT)
Một bài luận được thí sinh viết tay trên giấy A4, trình bày động cơ học tập và sự phù hợp của năng lực bản thân với ngành học, trường học (độ dài tối đa là 1 mặt giấy A4)
Một thư giới thiệu của giáo viên trường THPT, nơi thí sinh học lớp 12 (không cần đóng dấu của trường THPT)
Bản sao học bạ 3 năm trung học phổ thông (có đóng dấu xác nhận của trường THPT)
Bản sao chứng chỉ ngoại ngữ quốc tế (nếu có)
Bản sao các giấy tờ minh chứng thành tích (nếu có)
",3
